id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
78,7,394803,3.5,1.5,95.0,,2020-10-22 14:13:05.321728+00:00,2020-10-22 14:13:05.321778+00:00
79,7,44252,6.0,6.5,88.0,,2020-10-22 14:13:46.471610+00:00,2020-10-22 14:13:46.471648+00:00
80,7,104013,8.5,7.0,88.0,,2020-10-22 14:14:32.519229+00:00,2020-10-22 14:14:32.519265+00:00
81,7,104035,7.0,6.5,98.0,,2020-10-22 14:15:07.094048+00:00,2020-10-22 14:15:07.094101+00:00
82,7,114032,7.5,9.5,95.0,,2020-10-22 14:16:03.928434+00:00,2020-10-22 14:16:03.928463+00:00
83,7,114075,9.0,5.0,99.0,,2020-10-22 14:16:58.846352+00:00,2020-10-22 14:16:58.846390+00:00
84,7,44105,5.0,9.5,96.0,,2020-10-22 14:17:30.715226+00:00,2020-10-22 14:17:30.715277+00:00
85,7,44157,4.0,7.5,98.0,,2020-10-22 14:18:03.010252+00:00,2020-10-22 14:18:03.010311+00:00
86,7,44268,9.0,8.0,79.0,,2020-10-22 14:18:28.318689+00:00,2020-10-22 14:18:28.318733+00:00
87,7,104221,9.5,7.0,82.0,,2020-10-22 14:19:00.596942+00:00,2020-10-22 14:19:00.596983+00:00
88,7,104223,8.0,5.0,90.0,,2020-10-22 14:19:28.239462+00:00,2020-10-22 14:19:28.239512+00:00
89,7,114073,9.0,7.5,95.0,,2020-10-22 14:20:03.241590+00:00,2020-10-22 14:20:03.241635+00:00
90,7,394801,1.5,1.5,94.0,,2020-10-22 14:20:28.980841+00:00,2020-10-22 14:20:28.980889+00:00
91,7,44127,6.5,8.0,86.0,,2020-10-22 14:20:58.482822+00:00,2020-10-22 14:20:58.482868+00:00
92,7,44131,9.5,10.0,85.0,,2020-10-22 14:21:19.207989+00:00,2020-10-22 14:21:19.208040+00:00
93,7,44140,10.0,4.0,78.0,,2020-10-22 14:21:43.739475+00:00,2020-10-22 14:21:43.739512+00:00
94,14,104032,7.0,7.0,,,2020-10-22 14:21:49.789678+00:00,2020-10-22 14:21:49.789731+00:00
95,7,104034,6.0,4.5,100.0,,2020-10-22 14:22:21.925809+00:00,2020-10-22 14:22:21.925855+00:00
96,14,104018,7.0,7.0,,,2020-10-22 14:22:25.421779+00:00,2020-10-22 14:22:25.421824+00:00
98,7,324395,1.5,1.0,100.0,,2020-10-22 14:22:55.904304+00:00,2020-10-22 14:22:55.904354+00:00
100,7,324992,1.0,1.5,100.0,,2020-10-22 14:23:14.596536+00:00,2020-10-22 14:23:14.596580+00:00
101,14,234247,8.0,5.0,,,2020-10-22 14:23:27.931935+00:00,2020-10-22 14:23:27.931988+00:00
97,14,104134,4.0,4.0,,,2020-10-22 14:22:44.863583+00:00,2020-10-22 14:22:44.863632+00:00
99,14,104166,6.5,7.0,,,2020-10-22 14:23:07.210081+00:00,2020-10-22 14:23:07.210129+00:00
102,14,234124,5.0,7.5,,,2020-10-22 14:24:24.738201+00:00,2020-10-22 14:24:24.738251+00:00
104,7,324959,1.5,1.0,97.0,,2020-10-22 14:27:05.944165+00:00,2020-10-22 14:27:05.944218+00:00
105,16,104016,3.0,3.0,90.0,,2020-10-22 14:50:36.229109+00:00,2020-10-22 14:50:36.229161+00:00
106,16,104031,6.0,4.0,81.0,,2020-10-22 14:51:15.292399+00:00,2020-10-22 14:51:15.292444+00:00
107,16,114074,8.0,7.0,70.0,,2020-10-22 14:51:45.525602+00:00,2020-10-22 14:51:45.525654+00:00
